timestamp,game,latency,map,killer,victim,points
2024-05-23 11:36:21,0,0,,Player_172.19.117.18,Player_172.19.137.208,1
2024-05-23 11:36:35,0,0,,<world>,Player_172.19.116.18,0
2024-05-23 11:36:41,0,0,,Player_172.19.114.48,Player_172.19.114.48,0
2024-05-23 11:36:48,0,0,,Player_172.19.114.48,Player_172.19.116.18,1
2024-05-23 11:36:53,0,0,,Observer,Observer,0
2024-05-23 11:36:58,0,0,,Player_172.19.117.18,Player_172.19.116.18,2
2024-05-23 11:37:02,0,0,,Player_172.19.119.51,Player_172.19.120.104,1
2024-05-23 11:37:06,0,0,,Player_172.19.116.18,Player_172.19.119.51,1
2024-05-23 11:37:09,0,0,,Player_172.19.137.208,Player_172.19.116.18,1
2024-05-23 11:37:11,0,0,,Player_172.19.117.18,Player_172.19.114.48,3
2024-05-23 11:37:25,0,0,,Player_172.19.117.18,Player_172.19.116.18,4
2024-05-23 11:37:33,0,0,,<world>,Player_172.19.120.104,0
2024-05-23 11:37:34,0,0,,Player_172.19.137.208,Player_172.19.116.18,2
2024-05-23 11:37:50,0,0,,Player_172.19.137.208,Player_172.19.116.18,3
2024-05-23 11:37:50,0,0,,Player_172.19.117.18,Player_172.19.120.104,5
2024-05-23 11:37:50,0,0,,Player_172.19.117.18,Player_172.19.117.18,5
2024-05-23 11:37:51,0,0,,Player_172.19.114.48,Player_172.19.119.51,2
2024-05-23 11:38:00,0,0,,Player_172.19.120.104,Player_172.19.116.18,1
2024-05-23 11:38:13,0,0,,Player_172.19.119.51,Player_172.19.114.48,2
2024-05-23 11:38:19,0,0,,Player_172.19.116.18,Player_172.19.137.208,2
2024-05-23 11:38:19,0,0,,Player_172.19.137.208,Player_172.19.116.18,4
2024-05-23 11:38:31,0,0,,<world>,Player_172.19.119.51,1
2024-05-23 11:38:42,0,0,,Player_172.19.114.48,Player_172.19.137.208,3
2024-05-23 11:38:44,0,0,,Player_172.19.117.18,Player_172.19.114.48,5
2024-05-23 11:38:50,0,0,,<world>,Player_172.19.116.18,1
2024-05-23 11:38:58,0,0,,Player_172.19.117.18,Player_172.19.120.104,6
2024-05-23 11:39:06,0,0,,Player_172.19.114.48,Player_172.19.137.208,0
2024-05-23 11:39:13,0,0,,Player_172.19.114.48,Player_172.19.137.208,5
2024-05-23 11:39:16,0,0,,<world>,Player_172.19.119.51,0
2024-05-23 11:39:20,0,0,,Player_172.19.114.48,Player_172.19.120.104,6
2024-05-23 11:39:28,0,0,,Player_172.19.117.18,Player_172.19.114.48,7
2024-05-23 11:39:34,0,0,,Player_172.19.114.48,Player_172.19.116.18,7
2024-05-23 11:39:41,0,0,,Player_172.19.117.18,Player_172.19.116.18,8
2024-05-23 11:39:43,0,0,,Player_172.19.119.51,Player_172.19.120.104,1
2024-05-23 11:39:48,0,0,,Player_172.19.114.48,Player_172.19.137.208,8
2024-05-23 11:39:51,0,0,,Player_172.19.119.51,Player_172.19.114.48,2
2024-05-23 11:39:59,0,0,,Player_172.19.117.18,Player_172.19.114.48,9
2024-05-23 11:40:04,0,0,,Player_172.19.114.48,Player_172.19.119.51,9
2024-05-23 11:40:05,0,0,,<world>,Player_172.19.116.18,0
2024-05-23 11:40:09,0,0,,Player_172.19.117.18,Player_172.19.114.48,10
2024-05-23 11:40:26,0,0,,Player_172.19.137.208,Player_172.19.119.51,5
2024-05-23 11:40:30,0,0,,Player_172.19.117.18,Player_172.19.116.18,11
2024-05-23 11:40:30,0,0,,Player_172.19.117.18,Player_172.19.117.18,11
2024-05-23 11:40:36,0,0,,Player_172.19.117.18,Player_172.19.137.208,11
2024-05-23 11:40:37,0,0,,Player_172.19.117.18,Player_172.19.114.48,12
2024-05-23 11:40:41,0,0,,Player_172.19.117.18,Player_172.19.116.18,13
2024-05-23 11:40:54,0,0,,Player_172.19.114.48,Player_172.19.120.104,10
2024-05-23 11:40:58,0,0,,Player_172.19.117.18,Player_172.19.137.208,14
2024-05-23 11:41:03,0,0,,Player_172.19.116.18,Player_172.19.119.51,1
2024-05-23 11:41:15,0,0,,Player_172.19.120.104,Player_172.19.120.104,0
2024-05-23 11:41:15,0,0,,Player_172.19.137.208,Player_172.19.117.18,6
2024-05-23 11:41:18,0,0,,<world>,Player_172.19.116.18,0
2024-05-23 11:41:33,0,0,,Player_172.19.119.51,Player_172.19.114.48,3
2024-05-23 11:41:33,0,0,,Player_172.19.119.51,Player_172.19.119.51,2
2024-05-23 11:41:35,0,0,,<world>,Player_172.19.120.104,0
2024-05-23 11:41:53,0,0,,Player_172.19.114.48,Player_172.19.117.18,11
2024-05-23 11:42:05,0,0,,<world>,Player_172.19.137.208,5
2024-05-23 11:42:12,0,0,,Player_172.19.116.18,Player_172.19.116.18,0
2024-05-23 11:42:26,0,0,,Player_172.19.117.18,Player_172.19.120.104,15
